Degradation_Type,OpenL3,VGGish
Noise (Low),0.9919,0.9073
Noise (High),0.9846,0.8818
Noise (Extreme),0.9782,0.8593
Bitrate (Low),0.9915,0.9585
Bitrate (High),0.9831,0.9296
Bitrate (Extreme),0.9784,0.9118
Compression (Low),0.9858,0.9516
Compression (High),0.9886,0.9463
Compression (Extreme),0.9420,0.8071
Noise (Low),0.9904,0.9612
Noise (High),0.9847,0.9425
Noise (Extreme),0.9816,0.9319
Bitrate (Low),0.9899,0.9504
Bitrate (High),0.9810,0.9402
Bitrate (Extreme),0.9763,0.9393
Compression (Low),0.9832,0.9563
Compression (High),0.9893,0.9644
Compression (Extreme),0.9470,0.8965
